osmid,y,x
366367746,10.7855745,106.7130825
366368194,10.7902412,106.7095438
366380192,10.7927102,106.7103483
366381781,10.792187,106.7084784
366384627,10.7874751,106.7144668
366384879,10.7893649,106.7085295
366386086,10.7902922,106.7086951
366388178,10.7897188,106.7086153
366389762,10.7927261,106.7074335
366392670,10.7909051,106.7099441
366398329,10.7922672,106.7101949
366399417,10.7912213,106.7170982
366403735,10.7874437,106.7138817
366404915,10.7915021,106.7143268
366409534,10.7854004,106.7128942
366411631,10.7902283,106.7099177
366417336,10.7920001,106.7088467
366417900,10.7918393,106.7165781
366418447,10.7925022,106.7146383
366424590,10.7905545,106.7174552
366428195,10.7876275,106.715324
366434853,10.7862005,106.7137624
366436389,10.7902285,106.7097886
366437249,10.7838914,106.7217487
366443071,10.7910963,106.7147531
366446528,10.7910028,106.7074376
366448854,10.7917838,106.7145972
366449853,10.7932386,106.7146273
366454260,10.7821942,106.7238457
366455478,10.7916001,106.709985
366456089,10.788806,106.7167359
366457855,10.7893262,106.7095186
366467647,10.7885098,106.7170526
366469134,10.7901978,106.7107017
366474553,10.7914524,106.708859
383594386,10.7896678,106.712201
383595862,10.7920783,106.7136861
411919133,10.7857313,106.7088516
538184348,10.7875556,106.7149755
728690566,10.7894924,106.7121753
728690568,10.7890519,106.7145504
873513364,10.7927884,106.708633
873513376,10.7927865,106.7091563
873513381,10.7929388,106.7088181
925249852,10.7889768,106.7087704
1001114445,10.791517,106.7105791
1001114487,10.791324,106.7115982
1001114490,10.7916308,106.7106195
1001114508,10.790182,106.7113829
1351015911,10.7720367,106.7201023
1351015913,10.7734958,106.7227478
1351015916,10.7723325,106.7200047
1519420507,10.7704194,106.7097751
1519421797,10.7780804,106.7323357
1769496227,10.7908711,106.714991
1774287374,10.789729,106.7173835
1774287392,10.7896308,106.7172004
1774287403,10.790836,106.7182539
1774287431,10.7893877,106.7138879
1774287440,10.7874223,106.7178171
1774287447,10.7890806,106.7160705
1774287465,10.7887138,106.7166191
1774287471,10.7819088,106.7206101
1774287489,10.7890441,106.7159944
1774952091,10.7895798,106.7165563
1774952117,10.7871755,106.7177594
1774952124,10.7896992,106.7163009
1774952212,10.7889937,106.7169093
1774952221,10.7902406,106.7176137
1833373425,10.7715047,106.7183963
1833373434,10.7718447,106.7185156
1833373501,10.7739147,106.7242485
1833373504,10.7741838,106.7241153
1833373505,10.7743198,106.7250329
1833373509,10.7745728,106.7248933
1833373518,10.7756021,106.7275466
1833373520,10.7758823,106.7274012
1847176011,10.7884218,106.7167942
1894611239,10.7891176,106.713571
1894611252,10.7893196,106.7148132
1894611352,10.7896964,106.7147878
1894611487,10.7902123,106.715575
1996745051,10.770438,106.7103898
1996745310,10.7697622,106.7106473
1998235239,10.7709537,106.7160664
2022549874,10.7931149,106.7102447
2036082820,10.7892514,106.7102803
2036082836,10.7904863,106.7205895
2036082890,10.7894495,106.7214915
2036082924,10.7897176,106.7195978
2036082940,10.7911444,106.7197399
2036082964,10.7881977,106.7093691
2036082980,10.7881067,106.7195744
2036083009,10.7857612,106.708632
2036083045,10.7906024,106.7188672
2036083053,10.7889164,106.7102735
2036083064,10.789706,106.7202607
2036083091,10.7894374,106.7192295
2036083100,10.785005,106.7082863
2036083116,10.7893504,106.7111432
2036083194,10.7906271,106.719465
2036083208,10.7901338,106.7201586
2036083218,10.7888599,106.7184041
2036083234,10.7901854,106.7110314
2036083244,10.7896572,106.7110432
2036083251,10.7883843,106.7199906
2036083255,10.7900785,106.7200926
2036083370,10.7882927,106.7093984
2036083392,10.7886676,106.7203953
2036083413,10.7906356,106.7181787
2036083425,10.7906706,106.718853
2036083437,10.7888553,106.7103378
2036083447,10.789154,106.7188324
2036083457,10.7895655,106.7108043
2036083486,10.7894499,106.7111108
2036083499,10.7899948,106.7177383
2036083508,10.787882,106.7190783
2036083519,10.7895738,106.7110704
2036083535,10.7905607,106.719438
2036083565,10.7889499,106.7207986
2036083576,10.7912003,106.7183252
2036251696,10.7882567,106.7140433
2036251707,10.7879885,106.7144245
2036251710,10.7885077,106.7143285
2036251711,10.7889458,106.7149283
2036251712,10.7881431,106.7132039
2036251714,10.7878549,106.7159482
2036251737,10.7883121,106.7148478
2036251739,10.7884489,106.7151586
2036251760,10.7881833,106.7141441
2036251763,10.7879324,106.7161836
2036251764,10.788623,106.7145824
2036251769,10.7885039,106.7133014
2036251771,10.7887416,106.7149042
2036251777,10.7880328,106.7136276
2036251784,10.7886994,106.7152287
2038003740,10.7926675,106.7197826
2038003750,10.7930711,106.7198469
2038003897,10.7915593,106.7205075
2038003994,10.7913865,106.7204058
2038004008,10.79149,106.7204535
2275303157,10.7742943,106.7240556
2275303159,10.773553,106.7225606
2275303171,10.7738048,106.724305
2275303173,10.7760016,106.7273341
2275303175,10.7713769,106.7184389
2275303187,10.7754832,106.7276052
2275303193,10.771922,106.7201406
2275303206,10.7730397,106.7228139
2275303213,10.7779739,106.7323917
2275303215,10.7724287,106.7199714
2275303234,10.7784819,106.732226
2275303235,10.7746808,106.724835
2275303236,10.7719615,106.7184751
2344099377,10.7741961,106.7250964
2380787696,10.7684493,106.7030661
2380787699,10.768364,106.703117
2692325264,10.7859742,106.7232064
2692325266,10.7853364,106.7223592
2692325267,10.7849028,106.7226982
2692325268,10.7839179,106.7235094
2692325269,10.7838688,106.7237685
2692325276,10.7829134,106.7252277
2692325278,10.7859023,106.723111
2692325280,10.7851105,106.7237349
2692325282,10.7855097,106.7234204
2692325284,10.7847471,106.7224908
2692325285,10.7845504,106.7229928
2692325288,10.7851476,106.7237056
2899339625,10.7729401,106.7223043
2899339635,10.773453,106.7228945
2899339639,10.7731554,106.7227568
2899339641,10.7733172,106.7229441
2899339644,10.7733402,106.7231557
2899339659,10.7703603,106.7127433
2965462037,10.7709482,106.716812
2965462038,10.7708698,106.7164342
2965462039,10.7713659,106.7168279
2965462040,10.771087,106.7169043
2965462041,10.7709749,106.7169352
3026613133,10.7714181,106.7164411
3191421759,10.7828612,106.722313
3234394777,10.776451,106.7284889
3235936413,10.7833524,106.7247982
3235937510,10.7897019,106.7160927
3235937514,10.7894493,106.7160585
3235937518,10.7896815,106.7167631
3283243935,10.7721617,106.7207337
3700940761,10.7658673,106.7249063
3700940766,10.7660527,106.7257322
3700940775,10.7662591,106.7250763
3700940792,10.7673391,106.721205
3700940797,10.7676833,106.7214386
3700940798,10.7677443,106.722828
3700940800,10.767832,106.7213368
3700940807,10.7680808,106.7226502
3700940810,10.7685228,106.7235128
3700940811,10.7682956,106.7210712
3700940813,10.7683633,106.7239726
3700940815,10.7685792,106.7244061
3700940817,10.7684081,106.7224842
3700940826,10.7688397,106.7204768
3700940827,10.7687875,106.7208847
3700940829,10.7688819,106.7222403
3700940830,10.7688929,106.7242414
3700940837,10.7691967,106.7248343
3700940840,10.7693488,106.7220007
3700940841,10.7693693,106.7208648
3700940846,10.7698421,106.7218009
3700940874,10.7698029,106.722841
3700940883,10.77008,106.7218154
3700940904,10.7704304,106.7213248
3700940943,10.7705575,106.7214208
3700940967,10.7709905,106.7212855
3700940969,10.7710395,106.7213469
3700940983,10.7716275,106.7224177
3700940984,10.7720836,106.7233031
3700940985,10.772595,106.7242959
4066907391,10.7809442,106.7209709
4109569219,10.7916562,106.709752
4462424937,10.7737184,106.7263549
4508052527,10.7714998,106.7167849
4508136736,10.7751014,106.7134069
4508136741,10.7689559,106.7146519
4508136742,10.7682491,106.7152187
4508170614,10.7838643,106.7196249
4599061616,10.7921939,106.717109
4599061617,10.792106,106.7166614
4622811277,10.7649221,106.7266305
4622811304,10.7748676,106.7222735
4634458539,10.7880171,106.7109142
4634458544,10.7889825,106.7104883
4639622467,10.7929558,106.7108273
4639622898,10.7929375,106.7108901
4639631346,10.7929467,106.7108584
4669863061,10.7761584,106.7224104
4669863063,10.7801518,106.7213996
4907667670,10.77348,106.7236768
4907667671,10.7731971,106.7237073
4907667672,10.7730871,106.7234618
4907667675,10.773296,106.7233212
4907667680,10.7733422,106.7242263
4907667683,10.7727994,106.7242652
4907667708,10.7721857,106.7271315
4907667709,10.7727965,106.7268204
4907667710,10.7732949,106.7265686
4907667711,10.7726856,106.725415
4907667712,10.7741841,106.7282859
4907667713,10.7720744,106.7254354
4907667769,10.7757038,106.7302668
4907667774,10.7745953,106.7280761
4907667775,10.7739021,106.7284313
4907667926,10.7700398,106.7264573
4907667927,10.7707705,106.7260744
4907667934,10.7731962,106.7254768
4907667941,10.7742656,106.7252322
4907667942,10.767041,106.7259617
4907667943,10.7672882,106.7264113
4907667952,10.7663091,106.7264607
4907667958,10.7696926,106.7257934
4907667963,10.7709922,106.7246718
4907667982,10.7785261,106.7222196
4907667983,10.771146,106.7290974
4907667985,10.7711649,106.7286447
4933402684,10.789377,106.7186684
4933402685,10.7897779,106.7191986
4933402686,10.7895457,106.7193719
4933402688,10.7901039,106.7189866
4933402690,10.7903212,106.7189933
4947173928,10.789994,106.7221723
4947173929,10.7899028,106.722294
4947229052,10.7781607,106.7277268
4947229059,10.7783154,106.7261313
4947229064,10.7794663,106.7281711
4947229073,10.7665613,106.7174115
4952626111,10.7787058,106.7185507
4952626112,10.7796207,106.720349
4952626114,10.7790724,106.7192629
4952626115,10.7808555,106.7183237
4952626222,10.7782801,106.7210494
4952626223,10.7804265,106.7199267
4952626224,10.7814047,106.7194062
4952626225,10.7830421,106.71856
4952626231,10.7839753,106.7210761
4952626236,10.779474,106.7240084
4952626237,10.7800783,106.7252013
4952626238,10.779321,106.725593
