u,v,osmid,highway,length,geometry
6720471720,6720471726,715000327,service,26.00041200042282,"LINESTRING (106.6793496 10.7914137, 106.679382 10.7913426, 106.6793666 10.7912654, 106.6793964 10.7911939)"
6720471721,6720471720,715000326,service,8.041094598726751,"LINESTRING (106.6792911 10.7913698, 106.6793496 10.7914137)"
6720471725,6720471726,715000327,service,13.976336234660957,"LINESTRING (106.6794559 10.7910868, 106.6794359 10.7910989, 106.6793964 10.7911939)"
6720471726,6720471725,715000327,service,13.976336234660957,"LINESTRING (106.6793964 10.7911939, 106.6794359 10.7910989, 106.6794559 10.7910868)"
6720471726,6720471720,715000327,service,26.000412000422816,"LINESTRING (106.6793964 10.7911939, 106.6793666 10.7912654, 106.679382 10.7913426, 106.6793496 10.7914137)"
6720471726,6720471729,715000328,service,29.921464657573768,"LINESTRING (106.6793964 10.7911939, 106.6792233 10.7911292, 106.6792048 10.7911413, 106.6791401 10.7911262)"
6720471729,6720471726,715000328,service,29.921464657573765,"LINESTRING (106.6791401 10.7911262, 106.6792048 10.7911413, 106.6792233 10.7911292, 106.6793964 10.7911939)"
6720471730,6720471719,35112716,residential,34.31146221180161,"LINESTRING (106.679307 10.7917241, 106.6794279 10.7914393)"
6720471730,6720471717,35112716,residential,27.390414349325518,"LINESTRING (106.679307 10.7917241, 106.679265 10.791823, 106.679231 10.7919581)"
6720471730,6720471735,715000329,service,47.16359273990797,"LINESTRING (106.679307 10.7917241, 106.6791779 10.7916744, 106.6791901 10.7916025, 106.6791413 10.7915705, 106.6791616 10.7914507, 106.6791311 10.7914308)"
6720471735,6720471730,715000329,service,47.16359273990797,"LINESTRING (106.6791311 10.7914308, 106.6791616 10.7914507, 106.6791413 10.7915705, 106.6791901 10.7916025, 106.6791779 10.7916744, 106.679307 10.7917241)"
6720471740,6720471744,715000330,residential,77.22144013019773,"LINESTRING (106.6790844 10.7911213, 106.6789421 10.7915186, 106.6789624 10.7915865, 106.6789197 10.7917263, 106.6789279 10.7917622, 106.6789235 10.7917815)"
6720471741,12821488346,35114268,service,134.29353460709856,"LINESTRING (106.6786346 10.7917529, 106.6786931 10.7916293, 106.6787856 10.7914567, 106.678917 10.7912183, 106.6789948 10.7910945, 106.6790632 10.7910009, 106.6791498 10.7909055, 106.6792107 10.7908191, 106.6792479 10.7907136)"
6720471741,411920622,35114268,service,20.493540951073985,"LINESTRING (106.6786346 10.7917529, 106.678622 10.7917795, 106.6785697 10.7919257)"
6720471741,6720471744,715000331,service,36.719285531494,"LINESTRING (106.6786346 10.7917529, 106.6787347 10.7917802, 106.678753 10.7917303, 106.6789235 10.7917815)"
11801215678,11050585276,59339639,tertiary,6.765743197893938,"LINESTRING (106.6936443 10.7926671, 106.6936353 10.7927273)"
11801215678,13271508799,59339639,tertiary,10.249216159233226,"LINESTRING (106.6936443 10.7926671, 106.6936579 10.7925759)"
11801215678,2230349392,213308041,service,106.98908383214123,"LINESTRING (106.6936443 10.7926671, 106.6938117 10.7927021, 106.6937505 10.7929282, 106.6937628 10.7929515, 106.6943061 10.7929384)"
11801215683,411920079,689332051,tertiary,11.410990953315565,"LINESTRING (106.6948645 10.7930323, 106.6949684 10.793043)"
11801215683,411920077,689332051,tertiary,51.87952773894973,"LINESTRING (106.6948645 10.7930323, 106.6947369 10.7930394, 106.6945198 10.7931166, 106.6944308 10.7931901)"
11801215683,2230349392,1270782536,service,67.19481715131039,"LINESTRING (106.6948645 10.7930323, 106.6947955 10.7929293, 106.6946739 10.7929293, 106.6945183 10.7929381, 106.6943061 10.7929384)"
6720471744,411926274,715000330,residential,42.85292790327532,"LINESTRING (106.6789235 10.7917815, 106.6788379 10.7921576)"
